ID,Subset,Question,Translated Question,Options,Translated Options,Label,Category,Image Type,Image Source,License,image_path,tag
5920593854274960595_1,"('Tamil', 'India')",வண்டி என்ன சுமந்து செல்கிறது?,What is the cart carrying?,['புல்' 'சாக்குகள்' 'பயணிகள்' 'மரக்கட்டைகள்'],['Grass' 'Sacks' 'Passengers' 'Lumber'],-1,Vehicles and Transportation,External,https://commons.wikimedia.org/wiki/File:Kolhapur_(4166401087).jpg,CC BY 2.0,image_67.jpg,"attach, blanket, bull, car, coach, cart, cattle, city street, cow, donkey, draw, drive, horse cart, license plate, man, pull, road, street scene, wagon, white"
5865910674271181211_1,"('Chinese', 'China')",这种艺术起源于哪个朝代？,In which dynasty did this art originate?,['汉朝' '唐朝' '明朝' '清朝'],['Han Dynasty' 'Tang Dynasty' 'Ming Dynasty' 'Qing Dynasty'],-1,Traditions / art / history,External,https://www.flickr.com/photos/univers-finder/20963063158/in/photolist-xWrbkq-7zR4WR-7zR5EM-7zURQ7-y5JygW-yeJuB2-64gTPt-6dYFhr-64ACoz-64kWtS-64kYuq-64BaVK-6e3SvA-y8Joav-86pDUA-7QLZqf-zrCXrX-86mjhP-86ptB5-7QLYbj-7QHFy8-86pFxE-86mipM-7QHGLv-ybHVZw-xh2kkG-xhamDg-64h3Bn-vomdPj-64Bbjw-64wUkR-64wWPt-64Bf89-64h1q2-64Bgmj-64gLT6-xJE7j7-xJDWnd-u4uaY2-86mwbg-z9bc3C-64F8cf-64BhBo-uHKwG3-z9ghkH-vugApy-u4jHHf-uY1Hsf-64m6xw-vsv7NE,Attribution-NonCommercial License,image_73.jpg,"act, actor, costume, dance, dancer, dress, festival, garment, headdress, person, instrument, man, perform, performance, traditional, woman"
5865687704275860878_1,"('Bengali', 'India')",ছবিতে দেখানো বোর্ডের সাথে এক সময়ে সর্বোচ্চ কতজন লোক খেলতে পারে?,Maximum how many people can play with the board in the image at a time?,['চার' 'এক' 'দুই' 'আট'],['Four' 'One' 'Two' 'Eight'],-1,Sports and recreation,External,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Ludo-2.jpg/640px-Ludo-2.jpg,Attribution,image_78.jpg,"board game, color, design, journal, maze, pattern, puzzle, quilt, square"
5865925804275544378_2,"('Romanian', 'Romania')",Cu ce este încălțat omul din imagine?,What shoes does the person in the picture have?,['sandale' 'șosete' 'opinci' 'cizme'],['sandals' 'socks' 'opinci' 'boots'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_98.jpg,"artifact, cane, costume, display, dress, garment, man, museum, room, showcase, stand"
5865925804277746579_0,"('Romanian', 'Romania')",În ce oraș este făcută imaginea?,In which city is the image taken?,"['Sinaia, România' 'Suceava, România' 'Brașov, România'
 'Hunedoara, România']","['Sinaia, Romania' 'Suceava, Romania' 'Brasov, Romania'
 'Hunedoara, Romania']",-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_112.jpg,"building, castle, city wall, fort, medieval, moat, tower, scaffold"
5865925784271117073_0,"('Romanian', 'Romania')",Care este numele acestei obicei tradițional?,What is the name of this traditional custom?,['Carnaval' 'Jocul cu capra' 'Joacă' 'Horă'],['Carnival' 'Goat play' 'Play' 'Dance'],-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/6/68/Frumosu%2C_Suceava%2C_31.12.2011_-_Capra_%281%29.jpg,CC BY-SA 4.0,image_122.jpg,"alley, wand, blanket, boot, coat, decorate, dress, person, man, maraca, quilt, stand, walk, wear, woman"
5865925794279226560_0,"('Romanian', 'Romania')",Cum se numește acest desert?,What is the name of this dessert?,['Cozonac' 'Gogoașă' 'Clătită' 'Plăcintă'],['Sweet bread' 'Donut' 'Crepe' 'Pie'],-1,Cooking and food,External,https://upload.wikimedia.org/wikipedia/commons/e/e1/Cozonac4.JPG,GFDL,image_124.jpg,"banana bread, bread, cake, chocolate cake, table, plate, food, napkin, nut, pastry, platter, sit, slice, sprinkle, tablecloth, topping, tray"
5920593844271777115_2,"('Tamil', 'India')",படத்தில் சாப்பாட்டுடன் தொட்டுவதற்கு எந்த உணவு காணப்படுகிறது?,Which complementary items are seen in the image?,['வெண்ணெய்' 'தக்காளி சட்னி' 'தயிர்' 'தேங்காய் சட்னி'],['Butter' 'Tomato Chutney' 'Yogurt' 'Coconut Chutney'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_132.jpg,"bowl, burrito, condiment, table, dinning table, dip, plate, food, guacamole, meal, napkin, platter, salsa, sauce, silverware, soup, tortilla, tray, utensil, white"
5865910684271696881_0,"('Chinese', 'China')",这个标志性建筑物是什么？,What is the landmark buildings?,['广州塔' '虎丘塔' '大雁塔' '雷峰塔'],['Guangzhou Tower' 'Huqiu Tower' 'Da-Yan Tower' 'Leifeng Pagoda'],-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/13523064@N03/5233266783/in/photolist-8YrRTD-8YrPft-8YhMg4-8YhJeV-8YhGEP-9sQwCM-8YhKRe-93GxkD-93GxPX-93KCkm-93KBXj-93KBV9-93GxG4-93KC19-93GxxX-93KEem-93Gyoa-93GzwD-93KCBA-93GzSX-93Gybg-93KCvy-LygXxx-AtBjvJ-ALdjyZ-bWaSGu-93KEjG-93GA9a-93GyDV-93GyT8-93KD6y-93KDVU-fVH1JZ-zPjMak-pRyAwf-pRyM7d-pz6rcS-oUCTZW-pyZKzp-oUCZsE-oUCWDJ-zPbFLm-pq2PpP-ef3QAK-aK8hpe-aK99ce-gHmgv6-GR4gjN-brTw2e-dW3VX4,Attribution-ShareAlike License,image_136.jpg,"building, color, light, illuminate, night, night view, tower"
5865687724279670501_1,"('Bengali', 'India')",এই খাবারে প্রধানত কোন উপাদান ব্যবহার করা হয়?,What ingredient is mainly used in this food?,['টমেটো' 'পেঁপে' ' পনির' 'মিষ্টিকুমড়া'],['Tomato' 'Papaya' 'Indian Cottage Cheese' 'Pumpkin'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_137.jpg,"bowl, condiment, table, plate, food, fruit, pepper, pickle, salsa, sauce, tomato, tomato sauce"
5865910694274374769_1,"('Chinese', 'China')",图中的这种运动在中国通常流行于哪个年龄阶段？,At what age group is the sport in the picture usually popular in China?,['儿童' '年青人' '青少年' '中老年人'],['Children' 'Youth people' 'Teenagers' 'Middle-aged and elderly people'],-1,People and everyday life,External,https://www.flickr.com/photos/101847634@N05/9762416746/in/photolist-fSEWo7-TnPbPy-aX9QLT-fSFzC4-4bUmp9-21JNkNb-9swN3-7uRjAr-dHb249-fADE9R-kJi91K-p8c9SX-2eEtBfw-ifkxDY-beAzhc-cvNtes-8umj9K-fFGWcM-XiTwPn-jgPck3-euPw5z-dofHVn-23FcgxN-grV6G8-HBXub-eDKSfQ-aeMBZZ-i4yBuo-HC4xP-jr6gy4-avQU66-nSFiHH-aeQzh9-2p23T1t-dB17rh-2obBhKE-zRVvd-7LQtmY-2ydPDJ-dH5F9n-ekrg9L-ekkvTn-ekrg67-ekrfPG-98LaUB-8LRmR2-fEZu1J-998Lhf-25QPN3o-53mDcd,Attribution License,image_147.jpg,"car, child, dance, person, karate, man, martial, park, pavement, practice, woman, youth"
5865925804271807580_0,"('Romanian', 'Romania')",Ce fel de mâncare este în imagine?,What food is in the picture?,['mici' 'gogoși' 'pârjoale' 'sarmale'],['mici' 'donuts' 'meatballs' 'stuffed cabbage rolls'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_155.jpg,"table, plate, dumpling, food, fork, meat, pastry, white"
5920593834275139325_0,"('Tamil', 'India')",நடுவில் உள்ள வெள்ளை நிற காய்கறி எது?,What is the white vegetable in the middle?,['இஞ்சி' 'உருளைக்கிழங்கு' 'பூண்டு' 'வெங்காயம்'],['Ginger' 'Potato' 'Garlic' 'Onion'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_162.jpg,"basket, lamp, floor, garlic, man, market, onion, potato, produce, vegetable"
5865687724271203845_1,"('Bengali', 'India')",চিত্রে দেখানো তিন দিক নির্দেশিত জিনিস দ্বারা সাধারণত কোন দেবতাকে বোঝানো হয়?,Which god is usually signified by the three way pointed thing shown in the image?,['ব্রহ্মা' 'কৃষ্ণ' 'শিব' 'বিষ্ণু'],['Brahma' 'Krishna' 'Shiva' 'Vishnu'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_164.jpg,"antler, campfire, trumpet, floor, grill, iron, pitchfork, pot, rake, sand, stick, tool"
5865687704278461802_1,"('Bengali', 'India')",ছবিতে দেখানো দেবতাকে কীভাবে পূজা করা হয়?,How is the deity depicted in the picture worshipped as?,['জ্ঞানের দেবী' 'স্বাস্থ্যের দেবী' 'স্থাপত্যের দেবী' 'সাপের দেবী'],"['Goddess of knowledge' 'Goddess of health' 'Goddess of architecture'
 'Goddess of Snakes']",-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_168.jpg,"deity, doll, figurine, footstall, person, sculpture, shrine, statue, sword, temple, toy, worship"
5865925784279964415_2,"('Romanian', 'Romania')",Cum îsi pedepsea dușmanii acest personaj istoric?,How was this historical character punishing his enemies?,['Inchisoare' 'Tras în țeapă' 'Nimic' 'Decapitare'],['Prison' 'Empelling' 'Nothing' 'Beheading'],-1,Traditions / art / history,External,https://upload.wikimedia.org/wikipedia/commons/a/af/Vlad_Tepes_002.jpg,Public domain,image_177.jpg,"beard, commander, crown, drawing, garment, headdress, person, man, painter, pearl, portrait, red, sword, wear"
5865925794279190088_1,"('Romanian', 'Romania')",Ce este clădirea cu coloane din centrul imaginii?,What is the columned building in the center of the picture?,['hotel' 'primărie' 'teatru' 'restaurant'],['hotel' 'city hall' 'theater' 'restaurant'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_197.jpg,"building, city, city square, rink, plaza, road, street corner, street scene, town square, umbrella"
5920593834271482095_2,"('Tamil', 'India')",வலது பக்கம் வெள்ளை நிற உணவு எது?,What is the white food on the right?,['வள்ளிக்கிழங்கு' 'உருளைக்கிழங்கு' 'ஜிக்காமா' 'கொய்யா'],['Sweet Potato' 'Potato' 'Jicama' 'Guava'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_202.jpg,"basket, bean, floor, food, fruit, ginger, green, market, onion, pea, potato, produce, sweet, vegetable, woman"
5920593844273453171_2,"('Tamil', 'India')",தண்ணீர் குளத்தை மக்கள் எதற்காக பயன்படுத்துவார்கள்?,What do people use the water pool for?,['குளித்தல்' 'கழுவுதல்' 'குடித்தல்' 'சுத்தம் செய்தல்'],['Bathing' 'Ablution' 'Drinking' 'Cleaning'],-1,Geography / buildings / landmarks,External,https://commons.wikimedia.org/wiki/File:India_-_Delhi_Jama_masjid_-_5142.jpg,CC BY-SA 3.0,image_204.jpg,"building, floor, fountain, person, man, mosque, pilgrim, pool, prayer, robe, sit, structure, tomb, water, worship"
5865925794272686567_1,"('Romanian', 'Romania')",Din carnea cărui animal este făcut acest cârnaț?,The meat of what animal is this sausage made of?,['Vacă' 'Pui' 'Porc' 'Crevete'],['Beef' 'Chicken' 'Pork' 'Shrimp'],-1,Cooking and food,External,https://upload.wikimedia.org/wikipedia/commons/c/c7/-2021-07-24_Sliced_Black_pudding_sausage%2C_Trimingham%2C_Norfolk.JPG,CC BY-SA 4.0,image_223.jpg,"eggplant, food, marble, purple, slice"
5865925794273297282_2,"('Romanian', 'Romania')",Ce sunt obiectele roz de pe lac?,What are the pink objects on the lake?,['bărci cu vâsle' 'bărci cu pedale' 'caiacuri' 'biciclete'],['rowing boats' 'boats with pedals' 'kayaks' 'bikes'],-1,Geography / buildings / landmarks,Self,Self-open,CC BY-SA,image_224.jpg,"boat, building, canoe, flamingo, float, kayak, lake, park, pink, pond, raft, river, water, waterway"
5865910684279061383_0,"('Chinese', 'China')",这是什么传统文化？,Is this a traditional culture?,['京剧' '角色扮演' '越剧' '黄梅戏'],['Beijing Opera' 'Cosplay' 'Shaoxing Opera' 'Huangmei Opera'],-1,Traditions / art / history,External,https://www.flickr.com/photos/univers-finder/20963063158/in/photolist-xbaSAB-xWrbkq-7zR4WR-7zR5EM-zrCXrX-y5JygW-yeJuB2-6dYFhr-v1Bnov-64kWtS-64BaVK-y8Joav-86mjhP-7QLYbj-7QLZqf-7QHFy8-7QHGLv-86mipM-ybHVZw-7zURQ7-64gTPt-64ACoz-64kYuq-86pDUA-86pFxE-xh2kkG-xhamDg-z9bc3C-64h3Bn-vomdPj-64F8cf-7QLXuU-uHKwG3-z9ghkH-vugApy-u4jHHf-xJE7j7-uY1Hsf-xJDWnd-86mwbg-64Bbjw-64BhBo-64wUkR-64wWPt-64wY7F-64Bf89-64h1q2-64Bgmj-64gLT6,Attribution-NonCommercial License,image_225.jpg,"act, actor, costume, dance, dancer, dress, festival, garment, headdress, person, instrument, man, perform, performance, traditional, woman"
5865687704279286733_0,"('Bengali', 'India')",বাংলার এই বিখ্যাত ফুটবল ক্লাব কবে প্রতিষ্ঠিত হয়?,When was this famous bengal football club established? ,['১৯৯০ সালে ' '২১০০ সালে ' '২০১১ সালে ' '১৮৮৯ সালে '],['1990' '2100' '2011' '1889'],-1,Sports and recreation,External,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mohun_Bagan_1911_IFA_shield_winning_team.jpg/640px-Mohun_Bagan_1911_IFA_shield_winning_team.jpg,Public domain,image_228.jpg,"boy, shield, child, head, man, photo, picture, pose, school uniform, stool, tie, uniform, wear"
5865925794277920096_0,"('Romanian', 'Romania')",Ce obiect este în centrul imaginii?,What object is in the center of the picture?,['o grămadă de lemne' 'copaci uscați' 'un om de zăpadă' 'o căpiță de fân'],['a pile of wood' 'dried trees' 'a snowman' 'hay'],-1,People and everyday life,Self,Self-open,CC BY-SA,image_232.jpg,"blanket, fence, field, floor, hay, hillside, hut, snow, snowy, straw, winter"
5920593834272648564_0,"('Tamil', 'India')",படத்தில் காட்டப்பட்டுள்ள பொருள் என்ன?,What is the object shown in the picture?,['திரிசூலம்' 'விளக்கு' 'புல்லாங்குழல்' 'மணி'],['Trident' 'Diya' 'Flute' 'Bell'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_233.jpg,"attach, clock, ceiling, decorate, flower, hang, string, tree, wind chime"
5872166835347945312_1,"('Bengali', 'India')","কোন কার্যকলাপের জন্য, আমরা ছবিতে দেখানো পণ্য ব্যবহার করি?","For which activity, do we use the product shown in the picture ?",['ঘুমানো' 'ত্বকের যত্ন ' 'রান্না' 'গান গাওয়া  '],['Sleeping' 'Skin Care' 'Cooking' 'Singing'],-1,Brands / products / companies,Self,Self-open,CC BY-SA,image_242.jpg,"bag, chip, condiment, foil, food, package, potato chip, tomato sauce"
5865925794273878684_0,"('Romanian', 'Romania')",Ce poartă manechinele din imagine?,What are the mannequins in the picture wearing?,['costume populare' 'tricouri' 'rochii' 'cojoace'],['traditional costumes' 't-shirts' 'dresses' 'sheep skins'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_244.jpg,"case, clothing, costume, display, dress, garment, mannequin, museum, showcase, wear"
5872166835347945312_0,"('Bengali', 'India')",ছবিতে দেখানো পণ্যের বিষয়বস্তুর স্বাদ কেমন?,What is the taste of the contents of the product shown in the image?,['টক' 'লবণাক্ত' 'মিষ্টি' 'ঝাল'],['Sour' 'salty' 'sweet' 'Hot'],-1,Brands / products / companies,Self,Self-open,CC BY-SA,image_254.jpg,"bag, chip, condiment, foil, food, package, potato chip, tomato sauce"
5865910664276203394_0,"('Chinese', 'China')",这是什么动物？,what animal is this？,['野鸭子' '朱鹮' '白腹锦鸡' '火烈鸟'],"['Nobako' 'Crested Ibis' ""Lady Amherst's pheasant"" 'Flamingo']",-1,Plants and animal,External,https://www.flickr.com/photos/andy_li/3483634324/in/photolist-6iQx7L-5jfNPQ-5CDv8Y-5Czbbt-5CDukL,Attribution-ShareAlike License,image_262.jpg,"beak, bill, bird, crane, food, gray, red, stand, stork, water, water bird, white"
5865925804272758392_2,"('Romanian', 'Romania')",Ce poartă păpușile din imagine?,What are the dolls wearing in the picture?,['costume tradiționale' 'fân' 'rochii' 'măști de Halloween'],['traditional costumes' 'wheat' 'dresses' 'Halloween masks'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_267.jpg,"chair, costume, display, doll, dress, floor, gift shop, hay, person, hut, man, sit, snow, stall, stool, store, storefront"
5865925794272686567_2,"('Romanian', 'Romania')",Care este ingredientul care dă culoarea roșie a acestui cârnaț?,What is the ingredient that gives the red color of this sausage?,['Roșie' 'Ketchup' 'Sfeclă' 'Sânge'],['Tomato' 'Ketchup' 'Beet' 'Blood'],-1,Cooking and food,External,https://upload.wikimedia.org/wikipedia/commons/c/c7/-2021-07-24_Sliced_Black_pudding_sausage%2C_Trimingham%2C_Norfolk.JPG,CC BY-SA 4.0,image_273.jpg,"eggplant, food, marble, purple, slice"
5865925794273959227_1,"('Romanian', 'Romania')",Carnea din această supă vine din ce organ a unui animal?,The meat in this soup is from what animal body part?,['Inimă' 'Plămân' 'Stomac' 'Ficat'],['Heart' 'Lung' 'Stomach' 'Liver'],-1,Cooking and food,External,https://upload.wikimedia.org/wikipedia/commons/f/f8/Details_of_tripe_soup_%28ishkembe%29.jpg,CC BY-SA 4.0,image_286.jpg,"bowl, cream, plate, dumpling, fill, food, liquid, soup, spoon, tablecloth, white"
5865910664273883825_0,"('Chinese', 'China')",这是什么传统艺术？,What kind of traditional art is this?,['皮影戏' '小玩偶' '机器人表演' '贴画'],['shadow play' 'small doll' 'robot show' 'stickers'],-1,Traditions / art / history,External,https://www.flickr.com/photos/alexrun/4217784053/in/photolist-BEwoB-7qHffH-7qHffD-7qHffr-7qH8WH-7qH8WK-7qHffn-7qHffK-538Db7-7qHffv-9b2TK3-9b2Uiu-9b2T9s-9b2Uth-9aYLgZ-9b2RT5-9b2ShU-9aYHYR-9aYK3K-9b2SUh-9b2U91-9aYM1Z-eNiobv-9b2S49-9b2SvQ-728k5m-7qGSEP-aeTm8k-bdLzf-kqt2Nc-9fZwxx-rQqxC-krRrw,Attribution-NoDerivs License,image_288.jpg,"armor, chariot, figurine, horse, horseback, rider, spear, man, miniature, ride, shop window, sword, warrior, window display"
5920593834271666248_0,"('Tamil', 'India')",படத்தில் இருக்கும் கட்டிடம் என்னவாக இருக்கும்? ,What would be the structure in the picture?,['சர்ச்' 'ஷாப்பிங் மால்' 'கடிகார கோபுரம்' 'தொடர்வண்டி நிலையம்'],['Church' 'Shopping Mall' 'Clock Tower' 'Railway Station'],-1,Geography / buildings / landmarks,External,https://commons.wikimedia.org/wiki/File:Chennai_Central.jpg,CC BY-SA 2.0,image_292.jpg,"clock, bell tower, building, church, city, plaza, tower, red, spire, town square"
5865910674272256090_0,"('Chinese', 'China')",图中是一种近年来在中国流行的休闲活动，请问它的名字是？,"This is a recent popular leisure activity in China, what is it name?",['围炉煮茶' '功夫茶' '烤地瓜' '糖炒栗子'],"['Cooking tea by the fire' 'Kung-fu tea' 'Roasted Sweet Potato'
 'Roasted chestnuts with sugar']",-1,Cooking and food,Self,Self-research_only,CC BY-NC,image_303.jpg,"blanket, campfire, chestnut, coffee, cotton candy, cup, fire pit, food, grill, hot, person, kitchenware, liquid, nut, pastry, pot, stool, tea pot, treat"
5865687724276424298_1,"('Bengali', 'India')",এটা কি ধরনের রসগুল্লা?,What type of Rasgulla is it?,['কমলা' ' সাধারণ' 'গুড়' 'আম'],['Orange' 'Normal' 'Jaggery' 'Mango'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_309.jpg,"bean, bowl, garbanzo, condiment, container, floor, food, kitchen counter, kitchen floor, kitchenware, liquid, nut, pan, pot, potato"
5920593854277284359_1,"('Tamil', 'India')",படத்தில் காட்டப்பட்டுள்ள உணவின் பெயர் என்ன?,What is the name of the food item shown in the image?,['ஜவ்வரிசி உப்மா' 'அவல் உப்மா' 'அல்வா' 'ரவா உப்மா'],['Sabudana Khichdi' 'Poha' 'Halwa' 'Upma'],-1,Cooking and food,External,https://commons.wikimedia.org/wiki/File:Pearl_Tapioca_Khichdi.jpg,CC BY-SA 4.0,image_329.jpg,"bean, plate, fill, food, frying pan, herb, kitchenware, mixture, onion, pan, parsley, pea, pot, rice, vegetable"
5865910664278138109_0,"('Chinese', 'China')",这是什么虎种类？,What kind of tiger is this?,['马来亚虎' '华南虎' '东北虎' '孟加拉虎'],['Malayan tiger' 'South china tiger' 'Siberian tiger' 'Bengal tiger'],-1,Plants and animal,External,https://www.flickr.com/photos/tigerch/2721266219/in/photolist-7H8rWo-4D2XwE-5pvRtg-59tcD6,Attribution-NoDerivs License,image_358.jpg,"animal, bengal tiger, brush, enclosure, floor, habitat, stone, rocky, terrain, tiger, walk"
5920593834279086633_1,"('Tamil', 'India')",பகுதியின் மையத்திற்கு மேலே உள்ள குவிமாடத்தில் இருந்து என்ன தொங்கிக்கொண்டிருக்கிறது?,What is hanging from the dome above the centre of the area?,['லன்டர்ன்' 'விளக்கெண்ணெய்' 'சரவிளக்கு' 'பல்பு'],['Lantern' 'Lamp oil' 'Chandelier' 'Light bulb'],-1,Traditions / art / history,External,https://www.flickr.com/photos/bradfordcoy/6427650555/,Attribution-NoDerivs License,image_361.jpg,"archway, building, carpet, ceiling, chandelier, pillar, corridor, doorway, floor, fort, hall, person, man, mat, mosque, palace, prayer, relax, sit, tomb"
5865910664275364554_1,"('Chinese', 'China')",这是什么菩萨像？,What kind of Bodhisattva statue is this?,['地藏菩萨' '普贤菩萨' '文殊菩萨' '弥勒菩萨'],"['Ksitigarbha Bodhisattva' 'Samantabhadra' 'Manjusri Bodhisattva'
 'Maitreya Bodhisattva']",-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/kingmagic/2778902246/in/photolist-2mEhbXw-2mEiery-2mEeYgY-e4k7nx-2mEhb54-2mEeZDx-2zhmN7-5etwAn-2zhmNm-5exRxu-5eyw7m-2zdjAX-5euhCD-5eta4i-5etQgp-7Z1Zeu-e4qAd9-e4qkiC-5eyAPG-5etiQD-2zhmMW-5eu6jF-2zhmKo-5esCxx-5exCe7-5eswNM-5etGA2-5etMir-5exZTo-5eyhJJ,Attribution-NonCommercial-NoDerivs License,image_374.jpg,"buddha, catch, ceiling, pillar, deity, face, hand, person, sculpture, statue, temple, worship"
